,"Los Angeles, California","San Diego, California","Santa Cruz, California","Baltimore, Maryland","Houston, Texas"
2020-01-21,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0
2020-01-25,6.297839966848171e-06,0.0,0.0,0.0,0.0
2020-01-26,6.299314584959199e-06,0.0,0.0,0.0,1.9922090679977812e-06
2020-01-27,6.299314584959199e-06,0.0,0.0,0.0,1.9922090679977812e-06
2020-01-28,6.299314584959199e-06,0.0,0.0,0.0,1.9922090679977812e-06
2020-01-29,6.299314584959199e-06,0.0,0.0,0.0,1.9922090679977812e-06
2020-01-30,6.299314584959199e-06,0.0,0.0,0.0,1.9922090679977812e-06
2020-01-31,6.299314584959199e-06,0.0,3.369274611177847e-44,0.0,1.9922090679977812e-06
2020-02-01,6.299314584959199e-06,0.0,3.369274611177847e-44,0.0,1.9922090679977812e-06
2020-02-02,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-03,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-04,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-05,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-06,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-07,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-08,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-09,6.299314584959199e-06,0.0,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-10,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-11,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-12,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-13,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-14,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-15,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-16,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-17,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-18,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-19,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-20,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-21,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-22,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-23,6.299314584959199e-06,5.991019461826721e-06,3.805804625610086e-37,0.0,1.9922090679977812e-06
2020-02-24,6.299314584959199e-06,5.991019461826721e-06,2.815277901128006e-08,0.0,1.9922090679977812e-06
2020-02-25,6.299314584959199e-06,5.991019461826721e-06,2.815277901128006e-08,0.0,1.9922090679977812e-06
2020-02-26,6.299314584959199e-06,5.991019461826721e-06,3.096805691359127e-07,0.0,1.9922090679977812e-06
2020-02-27,6.299314584959199e-06,5.991019461826721e-06,3.096805691359127e-07,0.0,1.9922090679977812e-06
2020-02-28,6.299314584959199e-06,5.991019461826721e-06,3.096805691359127e-07,1.7794787504099474e-95,1.9922090679977812e-06
2020-02-29,6.299314584959199e-06,5.991019461826721e-06,3.096805691359127e-07,7.11791500163979e-95,1.9922090679977812e-06
2020-03-01,6.299314584959199e-06,5.991019461826721e-06,3.378333481471927e-07,1.9574266254509427e-94,1.9922090679977812e-06
2020-03-02,6.299314584959199e-06,5.991019461826721e-06,3.378333481471927e-07,2.6692181256149203e-94,1.9922090679977812e-06
2020-03-03,1.8894994518655538e-05,5.991019461826721e-06,3.3783334814719434e-07,3.9148532509018854e-94,1.9922090679977812e-06
2020-03-04,1.89038422273217e-05,5.991019461826721e-06,3.3783334814719434e-07,5.872279876352826e-94,1.3945463475984469e-05
2020-03-05,1.890974069976581e-05,5.991019461826721e-06,3.3783334814719434e-07,2.0254317001540916e-85,2.191429974797559e-05
2020-03-06,1.8912689935987866e-05,5.991019461826721e-06,3.378333481471991e-07,2.0254317013997273e-85,2.5898717883971156e-05
2020-03-07,1.8914164557159307e-05,5.991019461826721e-06,3.378333662272101e-07,4.4222210722033155e-58,2.7890926951968937e-05
2020-03-08,1.8914164557159307e-05,5.991019461826721e-06,3.3783336622721816e-07,6.105068836689632e-42,2.7890926951968937e-05
2020-03-09,3.151721759059202e-05,1.1982038923653442e-05,3.3783338431906116e-07,6.105068836689632e-42,3.785197229195784e-05
2020-03-10,3.15187049441582e-05,1.1982038923653442e-05,2.6579455746379973e-05,9.672629842964856e-05,3.9844181359955706e-05
2020-03-11,3.78283545914377e-05,1.2218455748644518e-05,2.6579455746403636e-05,9.672629842964856e-05,5.5781853903937956e-05
2020-03-12,3.7834253070266515e-05,3.0900764609097905e-05,7.906270047052545e-05,9.672629842964856e-05,6.375069017592908e-05
2020-03-13,8.193096800169903e-05,5.486484245640479e-05,0.00021027081228083003,0.0001450894476444893,7.971916276444145e-05
2020-03-14,8.824797800403454e-05,6.097407033072706e-05,0.00021027081228083003,0.00024181574607415435,0.0001056794462213457
2020-03-15,0.00010716509180052029,0.00024082286259802428,0.00021029896505984132,0.00024181574607418736,0.0001375701999606072
2020-03-16,0.00013869115709365764,0.0003366791739872518,0.0002365968929799248,0.00024181574607418736,0.0001874677750199513
2020-03-17,0.0001828498314507627,0.0003672253133588631,0.0003415634181619463,0.00024210837212022308,0.00028724753389520254
2020-03-18,0.00026478962165926164,0.0004870457025953975,0.00036780504052414916,0.00024210837212030565,0.0003792431703257245
2020-03-19,0.00033412639706832496,0.00063106658650423,0.00044652990761043845,0.00024210842353409847,0.0004611546649357298
2020-03-20,0.00040979042839372614,0.0007870695093367156,0.0006565473986798203,0.0004358536464395468,0.0005831873342100888
2020-03-21,0.0004917494395856098,0.0009548180542678638,0.0008140253928325304,0.0006776694439274773,0.0007012048027117835
2020-03-22,0.0005989159932775274,0.0012304049495118932,0.0010764416700538063,0.0007263252448952914,0.0008415367468859255
2020-03-23,0.0007880208370522416,0.001380298644470057,0.0013389143065604377,0.0007263252448955718,0.00107099479204885
2020-03-24,0.0009582483690146169,0.0014521908780119775,0.0015753141300873074,0.0008714148210744852,0.001322582720162803
2020-03-25,0.0011788749315707497,0.00389344015176695,0.0018641691170086922,0.0009681411709181409,0.0015967774570230298
2020-03-26,0.0016140409455246774,0.005212739297145833,0.002179153043817159,0.002080786460267623,0.0024285754780717923
2020-03-27,0.002023768003698268,0.005668293193069655,0.0024415693210746423,0.0020807867687506593,0.0029257899779836505
2020-03-28,0.002024268090269909,0.006094128408509335,0.002835193656596015,0.0026127817185965323,0.0036022725113759105
2020-03-29,0.0027175201999568555,0.006280322845475946,0.0031763348367278765,0.002951616954698222,0.004264055401830459
2020-03-30,0.0029258475573790193,0.008894720641561415,0.0035702126186555987,0.002951910351951049,0.004938930544906009
2020-03-31,0.003165957639604272,0.010735238480119223,0.003964005978034269,0.0042099381520078576,0.006008916171675075
2020-04-01,0.003821680767628779,0.011424205718229295,0.004226422201745349,0.005080768338294871,0.007020597658630048
2020-04-02,0.004137350106591807,0.012125154995263022,0.004672867722504212,0.005855457786387463,0.0080718619828564
2020-04-03,0.004484499734073524,0.012999843836689725,0.004856897001757532,0.006290726874820901,0.009111126742373037
2020-04-04,0.00495788636384231,0.014637021638782912,0.005014346896786209,0.0072594545060543575,0.010529342319794941
2020-04-05,0.005261160583707009,0.015338207332641629,0.005329246365257547,0.008082800603441874,0.011851393025571953
2020-04-06,0.005564076305849553,0.01580562505907661,0.0055658432761043364,0.009098720314154705,0.012689783434301986
2020-04-07,0.005873481721701299,0.018216446401872463,0.005854810820613479,0.01011698219072472,0.013786530129767261
2020-04-08,0.00640971263771928,0.019727458170029806,0.006222559609143935,0.011522148977898177,0.015023146543340212
2020-04-09,0.006807103409126197,0.021370508783172322,0.006432577082183612,0.01249087599318543,0.015870867864814467
2020-04-10,0.0071793767170371834,0.02283347418722255,0.006747645610137524,0.013264395091335753,0.01681856825681157
2020-04-11,0.007702750830446756,0.02322312686906628,0.00682637053086052,0.01432955616393076,0.017702317696598552
2020-04-12,0.008055900336020348,0.02348085891433732,0.0071675117110103674,0.014958571632419274,0.018338709698853574
2020-04-13,0.00809402362736109,0.023738472751195873,0.00811260425500503,0.015684605563338602,0.01879344181838878
2020-04-14,0.008195714074496149,0.027402455608465527,0.008795027432583237,0.01665274737760786,0.020043358051839058
2020-04-15,0.008681310047346933,0.028949413493393826,0.00955606277688768,0.01776568632195815,0.02093901428159773
2020-04-16,0.008990432361865594,0.03045443424208934,0.009687693376918967,0.01829797502963286,0.021653411077401992
2020-04-17,0.009469860223086985,0.03193572732976254,0.01044906641158204,0.018637396495367962,0.02272424471589153
2020-04-18,0.009817170686624643,0.03437662197828002,0.010763966183718148,0.01999156680705571,0.02398013717886313
