0,1
City of Agoura Hills,3
City of Baldwin Park,0
City of Bell Gardens,1
City of Beverly Hills,14
City of Bradbury,0
City of Burbank,5
City of Calabasas,3
City of Cerritos,1
City of Commerce*,7
City of Cudahy,10
City of Culver City,14
City of Downey,1
City of Hawaiian Gardens,1
City of Hermosa Beach,8
City of Hidden Hills,3
City of Huntington Park,10
City of La Habra Heights,0
City of Lancaster*,4
City of Lynwood*,10
City of Malibu,3
City of Manhattan Beach,8
City of Palos Verdes Estates,15
City of Rancho Palos Verdes,15
City of Redondo Beach,8
City of Rolling Hills,15
City of Rolling Hills Estates,15
City of San Dimas,0
City of San Gabriel,9
City of Santa Fe Springs,1
City of Signal Hill,1
City of South G,10
Los Angeles - Als,9
Los Angeles - Angelino Heights,7
Los Angeles - Baldwin Hills,13
Los Angeles - Boyle Heights*,7
Los Angeles - Canoga Park,3
Los Angeles - Carthay,14
Los Angeles - Central,7
Los Angeles - Century City,14
Los Angeles - Chatsworth,3
Los Angeles - Cheviot Hills,14
Los Angeles - Country Club Park,13
Los Angeles - Crestview,12
Los Angeles - Del Rey,14
Los Angeles - Downtown*,7
Los Angeles - Eagle Rock,7
Los Angeles - Echo Park,7
Los Angeles - Elysian Park,7
Los Angeles - Elysian Valley,7
Los Angeles - Exposition Park,7
Los Angeles - Glassell Park,7
Los Angeles - Gramercy Pl,8
Los Angeles - Granada Hills,12
Los Angeles - Green Meadows,10
Los Angeles - Hancock Park,13
Los Angeles - Harbor City,15
Los Angeles - Harbor Gateway,8
Los Angeles - Harbor Pines,15
Los Angeles - Harvard Heights,13
Los Angeles - Harvard Park,13
Los Angeles - Highland Park,7
Los Angeles - Hollywood Hills,7
Los Angeles - Hyde Park,13
Los Angeles - Jefferson Park,13
Los Angeles - Lakeview T,2
Los Angeles - Leimert Park,13
Los Angeles - Lincoln Heights,7
Los Angeles - Los Feliz,7
Los Angeles - Mid-city,13
Los Angeles - Mission Hills,12
Los Angeles - North Hills,12
Los Angeles - Pacific Palisades,14
Los Angeles - Palms,14
Los Angeles - Panorama City,5
Los Angeles - Playa Del Rey,14
Los Angeles - Porter Ranch,3
Los Angeles - Rancho Park,14
Los Angeles - Res,7
Los Angeles - Reseda Ranch,12
Los Angeles - San Pedro*,15
Los Angeles - Shadow Hills,5
Los Angeles - Sherman Oaks,5
Los Angeles - South Carthay,14
Los Angeles - South Park,7
Los Angeles - Studio City,5
Los Angeles - Sun Valley,5
Los Angeles - Sylmar*,12
Los Angeles - Temple-Beaudry,7
Los Angeles - University Hills,7
Los Angeles - University Park,7
Los Angeles - Van Nuys,5
Los Angeles - Vermont Knolls,13
Los Angeles - Vernon Central,10
Los Angeles - Victoria Park,13
Los Angeles - Watts,10
Los Angeles - West Adams,13
Los Angeles - West Hills,3
Los Angeles - West Los Angeles,14
Los Angeles - Wilshire C,14
Los Angeles - Woodland Hills,3
Avocado Heights,0
Bradbury,0
Canyon Country,6
Castaic*,6
Cerritos,1
Charter Oak,0
Covina (Charter Oak),0
Desert View Highlands,2
East Los Angeles,7
East Rancho Dominguez,10
Hacienda Heights,0
Harbor Gateway,8
Kagel/Lopez Canyons,12
La Habra Heights,0
Ladera Heights,13
Lake Hughes,4
Lake Los Angeles,4
Lennox,13
Leona Valley,2
Littlerock,2
Littlerock/Pearblossom,2
Marina del Rey,14
Northeast San Gabriel,9
Quartz Hill,2
Rancho Dominguez,10
Rowland Heights,0
San Pasqual,9
Santa Monica Mountains,11
South San Gabriel,9
Stevenson Ranch,6
View Park/Windsor Hills,13
Walnut Park,10
West Chatsworth,3
West Puente Valley,0
West Rancho Dominguez,10
Whittier Narrows,9
Willowbrook,10
